17;SM;Screaming Mace;http://eq2.allakhazam.com/db/quest.html?eq2quest=1268;Screaming Mace;http://eq2.allakhazam.com/db/item.html?eq2item=8884;50;0
18;GEB;Saving Soles;http://eq2.allakhazam.com/db/quest.html?eq2quest=1129;Golden Efreeti Boots;http://eq2.allakhazam.com/db/item.html?eq2item=8963;40;0
19;BBC;The Bone Bladed Claymore;http://eq2.allakhazam.com/db/quest.html?eq2quest=1107;Bone Bladed Claymore;http://eq2.allakhazam.com/db/item.html?eq2item=10345;40;0
20;TME;An Eye for Power;http://eq2.allakhazam.com/db/quest.html?eq2quest=890;Tobrin's Mystical Eyepatch;http://eq2.allakhazam.com/db/item.html?eq2item=3519;45;0
21;FBSS;The Teachings of Yoru;http://eq2.allakhazam.com/db/quest.html?eq2quest=864;Flowing Black Silk Sash;http://eq2.allakhazam.com/db/item.html?eq2item=3206;45;0
22;HC;By Hook of By...;http://eq2.allakhazam.com/db/quest.html?eq2quest=834;Heirophant's Crook;http://eq2.allakhazam.com/db/item.html?eq2item=3140;40;0
23;SoR;An Ancient Desert Power;http://eq2.allakhazam.com/db/quest.html?eq2quest=2301;Scepter of Rahotep;http://eq2.allakhazam.com/db/item.html?eq2item=13165;50;0
24;BCG;Draco Mortuus Vos Liberatio;http://eq2.allakhazam.com/db/quest.html?eq2quest=2747;Bone-Clasped Girdle;http://eq2.allakhazam.com/db/item.html?eq2item=18846;60;0
25;TB;The Wonderous Inventions Crazed Gnome;http://eq2.allakhazam.com/db/quest.html?eq2quest=2729;Bag of the Tinkerers;http://eq2.allakhazam.com/db/item.html?eq2item=18488;65;0
26;WS;A Thorn of Old;http://eq2.allakhazam.com/db/quest.html?eq2quest=2731;WurmSlayer;http://eq2.allakhazam.com/db/item.html?eq2item=19048;60;0
27;DRT;In Honor and Service;http://eq2.allakhazam.com/db/quest.html?eq2quest=3142;Dwarven Ringmail Tunic;http://eq2.allakhazam.com/db/item.html?eq2item=22882;15;0
28;RotO;War and Wardrobe;http://eq2.allakhazam.com/db/quest.html?eq2quest=3129;Robe of the Oracle;http://eq2.allakhazam.com/db/item.html?eq2item=22867;35;0
29;SotO;The Staff of the Observers;http://eq2.allakhazam.com/db/quest.html?eq2quest=3121;Staff of the Observers;http://eq2.allakhazam.com/db/item.html?eq2item=22883;50;0
30;RC;Casualties of the War of the Fay;http://eq2.allakhazam.com/db/quest.html?eq2quest=3118;Rain Caller;http://eq2.allakhazam.com/db/item.html?eq2item=22896;60;0
31;CMS;The Symbol in the Flesh;http://eq2.allakhazam.com/db/quest.html?eq2quest=3458;Crested Mistmoore Shield;http://eq2.allakhazam.com/db/item.html?eq2item=27028;70;0
32;CoF;Cloak of Flames (Series);http://eq2.allakhazam.com/db/quest.html?eq2quest=3352;Cloak of Flames;http://eq2.allakhazam.com/db/item.html?eq2item=27014;65;0
